종목명,종목코드,Market,Date
다스코,058730,KOSPI,2026-07-08
PS일렉트로닉스,332570,KOSDAQ,2026-05-12
DSC인베스트먼트,241520,KOSDAQ,2026-05-29
파워넷,037030,KOSDAQ,2026-05-12
우리넷,115440,KOSDAQ,2026-05-11
빛샘전자,072950,KOSDAQ,2026-05-14
티플랙스,081150,KOSDAQ,2026-05-14
JW신약,067290,KOSDAQ,2026-06-22
한켐,457370,KOSDAQ,2026-06-18
엑스게이트,356680,KOSDAQ,2026-05-22
남선알미늄,008350,KOSPI,2026-05-14
마키나락스,477850,KOSDAQ,2026-07-06
나노팀,417010,KOSDAQ,2026-05-27
성문전자,014910,KOSPI,2026-05-14
광주신세계,037710,KOSPI,2026-06-26
소룩스,290690,KOSDAQ,2026-06-24
아모텍,052710,KOSDAQ,2026-05-27
삼진제약,005500,KOSPI,2026-05-19
아이로보틱스,066430,KOSDAQ,2026-05-18
금호전기,001210,KOSPI,2026-06-30
흥구석유,024060,KOSDAQ,2026-07-08
우림피티에스,101170,KOSDAQ,2026-05-08
계양전기,012200,KOSPI,2026-05-12
라이콤,388790,KOSDAQ,2026-06-11
녹십자엠에스,142280,KOSDAQ,2026-05-20
켄코아에어로스페이스,274090,KOSDAQ,2026-05-26
제주은행,006220,KOSPI,2026-06-10
효성화학,298000,KOSPI,2026-06-18
보해양조,000890,KOSPI,2026-06-22
이수화학,005950,KOSPI,2026-05-20
선도전기,007610,KOSPI,2026-05-11
삼익제약,014950,KOSDAQ,2026-06-22
져스텍,153890,KOSDAQ,2026-07-03
차백신연구소,261780,KOSDAQ,2026-05-15
드림씨아이에스,223250,KOSDAQ,2026-05-08
화신,010690,KOSPI,2026-06-19
폴레드,487580,KOSDAQ,2026-05-20
레이저쎌,412350,KOSDAQ,2026-05-14
HB테크놀러지,078150,KOSDAQ,2026-05-11
이노인스트루먼트,215790,KOSDAQ,2026-05-20
케이씨에스,115500,KOSDAQ,2026-05-26
삼호개발,010960,KOSPI,2026-07-02
티씨머티리얼즈,125020,KOSDAQ,2026-05-21
기가레인,049080,KOSDAQ,2026-05-27
매드업,0039P0,KOSDAQ,2026-07-08
한국첨단소재,062970,KOSDAQ,2026-05-26
서산,079650,KOSDAQ,2026-07-08
화신정공,126640,KOSDAQ,2026-06-17
머큐리,100590,KOSDAQ,2026-05-11
삼성공조,006660,KOSPI,2026-06-01
계룡건설,013580,KOSPI,2026-07-02
KBI메탈,024840,KOSDAQ,2026-07-02
코칩,126730,KOSDAQ,2026-06-18
모베이스전자,012860,KOSDAQ,2026-05-12
아이씨티케이,456010,KOSDAQ,2026-05-26
수젠텍,253840,KOSDAQ,2026-05-20
삼화전자,011230,KOSPI,2026-05-28
제룡산업,147830,KOSDAQ,2026-05-08
라온로보틱스,232680,KOSDAQ,2026-05-27
한솔테크닉스,004710,KOSPI,2026-06-22
유니트론텍,142210,KOSDAQ,2026-05-13
우리로,046970,KOSDAQ,2026-05-26
키스트론,475430,KOSDAQ,2026-06-26
나무기술,242040,KOSDAQ,2026-05-29
