종목명,비고
삼성전자,
SK하이닉스,
현대차,
클래시스,
KODEX 레버리지,
TIGER 200IT레버리지,
한미반도체,
롯데손해보험,
삼성중공업,
이수페타시스,
두산에너빌리티,
LIG넥스원,
선익시스템,
엘오티베큠,
KODEX 코스닥150레버리지,
제주반도체,
위드텍,
케이에스피,
피에스케이,
TIGER 차이나CSI300레버리지(합성),
HPSP,
와이씨,
잉글우드랩,
코스맥스,
동진쎄미켐,
리노공업,
하나머티리얼즈,
원익QnC,
넥스틴,
유바이오로직스,

