종목명,종목코드,Market,Date
드림시큐리티,203650,KOSDAQ,2026-09-15
네오이뮨텍,950220,KOSDAQ,2026-08-24
아진엑스텍,059120,KOSDAQ,2026-09-03
원익,032940,KOSDAQ,2026-08-31
에스피소프트,443670,KOSDAQ,2026-09-02
한선엔지니어링,452280,KOSDAQ,2026-09-16
레메디,387690,KOSDAQ,2026-09-04
아톤,158430,KOSDAQ,2026-09-15
금강철강,053260,KOSDAQ,2026-09-11
신스틸,162300,KOSDAQ,2026-09-08
코데즈컴바인,047770,KOSDAQ,2026-09-01
서산,079650,KOSDAQ,2026-09-10
흥구석유,024060,KOSDAQ,2026-09-15
빛샘전자,072950,KOSDAQ,2026-09-14
희림,037440,KOSDAQ,2026-08-26
우리넷,115440,KOSDAQ,2026-09-16
조비,001550,KOSPI,2026-08-19
JW신약,067290,KOSDAQ,2026-08-31
다스코,058730,KOSPI,2026-09-02
라온시큐어,042510,KOSDAQ,2026-09-14
한켐,457370,KOSDAQ,2026-09-16
액스비스,0011A0,KOSDAQ,2026-09-10
KBI메탈,024840,KOSDAQ,2026-08-19
갤럭시아머니트리,094480,KOSDAQ,2026-08-21
위더스제약,330350,KOSDAQ,2026-09-01
강동씨앤엘,198440,KOSDAQ,2026-09-01
머큐리,100590,KOSDAQ,2026-09-10
엠엑스로보틱스,007820,KOSDAQ,2026-08-18
한빛레이저,452190,KOSDAQ,2026-09-09
해치텍,0155E0,KOSDAQ,2026-09-07
니어스랩,417030,KOSDAQ,2026-08-26
화신정공,126640,KOSDAQ,2026-08-19
샘표,007540,KOSPI,2026-09-11
삼익제약,014950,KOSDAQ,2026-09-04
현대약품,004310,KOSPI,2026-09-04
한컴위드,054920,KOSDAQ,2026-09-16
지니언스,263860,KOSDAQ,2026-09-14
알트,459550,KOSDAQ,2026-09-07
금호전기,001210,KOSPI,2026-09-07
지투파워,388050,KOSDAQ,2026-08-26
매드업,0039P0,KOSDAQ,2026-09-07
샌즈랩,411080,KOSDAQ,2026-09-16
아로마티카,0015N0,KOSDAQ,2026-09-14
져스텍,153890,KOSDAQ,2026-08-21
