종목코드,종목명,매출액성장률
039440,에스티아이,13
003070,코오롱글로벌,13
007810,코리아써키트,13
319400,현대무벡스,13
443060,HD현대마린솔루션,13
192080,더블유게임즈,13
319660,피에스케이,13
000640,동아쏘시오홀딩스,13
066130,하츠,13
082920,비츠로셀,12
000100,유한양행,12
003720,삼영,12
298040,효성중공업,12
103140,풍산,12
003490,대한항공,12
079900,전진건설로봇,12
298690,에어부산,12
204270,제이앤티씨,12
145720,덴티움,12
251270,넷마블,12
099190,아이센스,12
339950,아이비김영,11
006730,서부T&D,11
267250,HD현대,11
263860,지니언스,11
111380,동인기연,11
377450,리파인,11
093320,케이아이엔엑스,11
389260,대명에너지,11
181710,NHN,10
272290,이녹스첨단소재,10
272550,삼양패키징,10
051160,지어소프트,10
195940,HK이노엔,10
077970,STX엔진,10
403550,쏘카,10
002380,KCC,10
002350,넥센타이어,10
086450,동국제약,10
001820,삼화콘덴서,10
052690,한전기술,10
001800,오리온홀딩스,10
336570,원텍,10
464280,티디에스팜,10
001120,LX인터내셔널,10
001630,종근당홀딩스,10
035420,NAVER,9
033500,동성화인텍,9
034230,파라다이스,9
214180,헥토이노베이션,9
034120,SBS,9
192400,쿠쿠홀딩스,9
096530,씨젠,9
240810,원익IPS,9
251120,바이오에프디엔씨,9
100120,뷰웍스,9
008490,서흥,9
058470,리노공업,9
344820,KCC글라스,9
016580,환인제약,9
277880,티에스아이,9
073240,금호타이어,9
006260,LS,9
018250,애경산업,9
200130,콜마비앤에이치,8
021240,코웨이,8
097520,엠씨넥스,8
218410,RFHIC,8
234080,JW생명과학,8
234300,에스트래픽,8
009970,영원무역홀딩스,8
010620,HD현대미포,8
004990,롯데지주,8
123410,코리아에프티,8
036640,HRS,8
148150,세경하이테크,8
049430,코메론,8
061970,LB세미콘,8
128940,한미약품,8
036800,나이스정보통신,8
044450,KSS해운,8
060980,HL홀딩스,8
035720,카카오,8
033160,엠케이전자,7
054950,제이브이엠,7
043370,피에이치에이,7
138490,코오롱ENP,7
356860,티엘비,7
271560,오리온,7
004090,한국석유,7
039830,오로라,7
000270,기아,7
075580,세진중공업,7
166090,하나머티리얼즈,7
009580,무림P&P,7
126700,하이비젼시스템,7
086280,현대글로비스,7
030000,제일기획,7
