종목명,비고
레이저쎌,https://www.youtube.com/watch?v=hnOpkejSiuY
주성엔지니어링,
디아이,
티에스이,
저스템,
엘오티베큠,
테크윙,
유니셈,
탑엔지니어링,
한양이엔지,
지오엘리먼트,
티이엠씨,
원익QnC,
텔레칩스,
LX세미콘,
피에스케이,
한미반도체,
